task_id,line,machines,station,stations,frequency,seq,part_name,action,standard,pic_label,doc_no,doc_rev,doc_effective,source_sheet,active
7504C899CA,AHP,AHP1,OP1,OP1,SHIFTLY,11,ADL Cutter,"Bersihkan dengan cara di lap NWO sisa splicing yang diberikan cairan toluen, disemprot air gun, dan pastikan tidak ada debu/kerak yang menempel",Bebas dari debu NWO dan akumulasi glue,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
CFACBB0CE7,AHP,AHP1,OP1,OP1,SHIFTLY,12,ADL Cutter,"Lakukan Pengecekan kondisi fisik flat belt,spons dan vacum anvil (Adjustment) Buat EWO ke team Engineering apabila diperlukan penggantian part","Pastikan kondisi conveyor flat belt ,Spons ADL cutter tidak sobek dan tidak bergeser dan lubang vacum anvil tidak mampet",OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
118565ACAD,AHP,AHP1,OP1,OP1,SHIFTLY,11,Spons ADL cutter dan Packing wool anvil ADL cutter,Pemberian pelumas dengan white oil,Terdapat pelumas white oil,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
E14246A6AE,AHP,AHP1,OP1,OP1,SHIFTLY,12,Core Pad cutter,"Bersihkan dengan cara di lap NWO sisa splicing yang diberikan cairan toluen,disemprot air gun,dan pastikan tidak ada debu/kerak yang menempel",Bebas dari debu NWO dan akumulasi glue,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
613F7905EB,AHP,AHP1,OP1,OP1,SHIFTLY,13,Core Pad cutter,Lakukan Pengecekan kondisi fisik flat belt dan spons (Adjustment) Buat EWO ke team Engineering apabila diperlukan penggantian part,"Pastikan kondisi conveyor flat belt ,Spons ADL cutter tidak sobek dan tidak bergeser dan lubang vacum anvil tidak mampet",OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
6E1B09E052,AHP,AHP1,OP1,OP1,SHIFTLY,14,Spons Core pad cutter dan Packing wool Core pad cutter,Pemberian pelumas dengan white oil,Terdapat pelumas white oil,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
43682AB355,AHP,AHP1,OP1,OP1,SHIFTLY,15,Heat Sealilng (Embossing Cuff),Bersihkan dengan cara di sikat kuningan yang diberikan cairan white oil,Bebas dari debu NWO dan akumulasi glue,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
2C1991E1D8,AHP,AHP1,OP1,OP1,SHIFTLY,16,Tissue Glue,Bersihkan dengan Sikat yang di berikan cairan white oil dan disemprot air gun dan pastikan tidak ada debu/kerak yang menempel,Bebas dari debu tissue dan fluff,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
3D11CE2171,AHP,AHP1,OP1,OP1,SHIFTLY,17,ADL Glue,Bersihkan dengan Sikat yang di berikan cairan white oil dan disemprot air gun dan pastikan tidak ada debu/kerak yang menempel,Bebas dari debu fluff dan NWO,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
831682609E,AHP,AHP1,OP1,OP1,SHIFTLY,18,Cuff One Folding Glue,Bersihkan dengan Sikat yang di berikan cairan white oil dan disemprot air gun dan pastikan tidak ada debu/kerak yang menempel,Bebas dari debu fluff dan NWO,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
009E00EED0,AHP,AHP1,OP1,OP1,SHIFTLY,19,Cuff Elastic Glue,Bersihkan dengan Sikat yang di berikan cairan white oil dan disemprot air gun dan pastikan tidak ada debu/kerak yang menempel,Bebas dari debu fluff dan NWO,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
502875AB61,AHP,AHP1,OP1,OP1,SHIFTLY,20,Top Sheet Glue,Bersihkan dengan Sikat yang di berikan cairan white oil dan disemprot air gun dan pastikan tidak ada debu/kerak yang menempel,Bebas dari debu fluff dan NWO,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
977A4D03C3,AHP,AHP1,OP1,OP1,SHIFTLY,21,PE Film Composite Glue,Bersihkan dengan Sikat yang di berikan cairan white oil dan disemprot air gun dan pastikan tidak ada debu/kerak yang menempel,Bebas dari debu fluff dan NWO,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
9A0FF74065,AHP,AHP1,OP1,OP1,SHIFTLY,22,All Lensa sensor BST,Bersihkan dengan cara di lap kering NWO sisa splicing dan pastikan tidak ada debu yang menempel,Bebas dari debu NWO,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
A4A6A53EBF,AHP,AHP1,OP1,OP1,SHIFTLY,23,All Lensa sensor Reject material,Bersihkan dengan cara di lap kering NWO sisa splicing dan pastikan tidak ada debu yang menempel,Bebas dari debu NWO,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
566C3A1270,AHP,AHP1,OP1,OP1,SHIFTLY,24,Debu Di Kolong Mesin,"Bersihkan dengan di semprot air gun,sapu dan Vacumm Cleaner dan pastikan tidak ada debu yang menempel",Bebas dari debu NWO dan akumulasi glue,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
10BAABDF48,AHP,AHP1,OP1,OP1,SHIFTLY,25,All Roller,Bersihkan dengan Spatula yang diberikan cairan kebersihan toluen,Bebas dari akumulasi glue,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
10F2927FEE,AHP,AHP1,OP1,OP1,SHIFTLY,26,All Roller,Lakukan Pengecekan kondisi fisik roller Buat EWO ke team Engineering apabila diperlukan penggantian part,Tidak ada roller macet,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
FA12C5B6E1,AHP,AHP1,OP1,OP1,SHIFTLY,27,Lantai (Front & Back) mesin,Bersihkan dengan disapu dan Vacumm Cleaner dan pastikan tidak ada debu yang menempel,Bebas dari debu,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
3EF715C4B9,AHP,AHP1,OP1,OP1,SHIFTLY,28,Selang angin,Ganti selang,Tidak ada Kebocoran angin,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
64332191DB,AHP,AHP1,OP1,OP1,SHIFTLY,29,Flexible hose/Selang vaccum,Ganti selang,Tidak ada Kebocoran vaccum,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
9A9AB8E515,AHP,AHP1,OP1,OP1,SHIFTLY,30,Safety Door Acrylic,Lakukan Pengecekan kondisi fisik safety door acrylic Buat EWO ke team Engineering apabila diperlukan penggantian part,Tidak ada yang pecah,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
9E9D9DEFD6,AHP,AHP1,OP1,OP1,SHIFTLY,31,All Shaft/AS unwinder,Lakukan Pengecekan kondisi fisik Shaft unwinder Buat EWO ke team Engineering apabila diperlukan penggantian part,Tidak ada Shaft/AS bocor,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 1,TRUE
FA35B15AB0,AHP,AHP1,OP2,OP1,SHIFTLY,1,PE Film Folding,Bersihkan dengan cara di lap NWO sisa splicing yang diberikan cairan kebersihan Toluen,Bebas dari debu NWO dan akumulasi glue,OP 1,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
3E44D0A081,AHP,AHP1,OP2,OP2,SHIFTLY,2,Slitting Cuff,"Bersihkan dengan cara di lap NWO sisa splicing yang diberikan cairan toluen, disemprot air gun, dan pastikan tidak ada debu/kerak yang menempel",Bebas dari debu fluff dan NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
02F60DAB61,AHP,AHP1,OP2,OP2,SHIFTLY,3,Slitting Pad Cover,"Bersihkan dengan cara di lap NWO sisa splicing yang diberikan cairan toluen, disemprot air gun, dan pastikan tidak ada debu/kerak yang menempel",Bebas dari debu fluff dan NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
DFCF8917F9,AHP,AHP1,OP2,OP2,SHIFTLY,4,Vision Camera 1 (Core Proses),"Bersihkan dengan cara di lap NWO sisa splicing , disemprot air gun, dan pastikan tidak ada debu/kerak yang menempel",Bebas dari debu fluff dan NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
A93F9F510B,AHP,AHP1,OP2,OP2,SHIFTLY,5,Core Cutter,"Bersihkan dengan cara di lap NWO sisa splicing yang diberikan cairan toluen, disemprot air gun, dan pastikan tidak ada debu/kerak yang menempel",Bebas dari debu fluff dan NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
E9B4CFED37,AHP,AHP1,OP2,OP2,SHIFTLY,6,Spons Core cutter,Pemberian pelumas dengan white oil,Terdapat pelumas white oil,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
7967EB82BB,AHP,AHP1,OP2,OP2,SHIFTLY,7,Transfer Pad Turning Unit,"Bersihkan dengan cara di lap NWO sisa splicing yang diberikan cairan toluen, disemprot air gun, dan pastikan tidak ada debu/kerak yang menempel",Bebas dari debu fluff dan NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
53FA87B169,AHP,AHP1,OP2,OP2,SHIFTLY,8,Waist Folding Plate,"Bersihkan dengan cara di lap NWO sisa splicing yang diberikan cairan toluen, dan pastikan tidak ada debu/kerak yang menempel",Bebas dari debu fluff dan NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
3C40FD8A3E,AHP,AHP1,OP2,OP2,SHIFTLY,9,Cuff Side Sealing Glue,Bersihkan dengan Sikat yang di berikan cairan white oil dan disemprot air gun dan pastikan tidak ada debu/kerak yang menempel,Bebas dari debu fluff dan NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
21C2604AE9,AHP,AHP1,OP2,OP2,SHIFTLY,10,Second End Sealing Glue,Bersihkan dengan Sikat yang di berikan cairan white oil dan disemprot air gun dan pastikan tidak ada debu/kerak yang menempel,Bebas dari debu fluff dan NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
E30005AE0D,AHP,AHP1,OP2,OP2,SHIFTLY,11,Cuff End Sealing Glue,Bersihkan dengan Sikat yang di berikan cairan white oil dan disemprot air gun dan pastikan tidak ada debu/kerak yang menempel,Bebas dari debu fluff dan NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
6D3A1A4C8A,AHP,AHP1,OP2,OP2,SHIFTLY,12,Pad Cover Composite Glue,Bersihkan dengan Sikat yang di berikan cairan white oil dan disemprot air gun dan pastikan tidak ada debu/kerak yang menempel,Bebas dari debu fluff dan NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
057532E1B3,AHP,AHP1,OP2,OP2,SHIFTLY,13,Core Fixed/Pad Fixed Glue,Bersihkan dengan Sikat yang di berikan cairan white oil dan disemprot air gun dan pastikan tidak ada debu/kerak yang menempel,Bebas dari debu fluff dan NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
52050A5E72,AHP,AHP1,OP2,OP2,SHIFTLY,14,Waist Folding Glue,Bersihkan dengan Sikat yang di berikan cairan white oil dan disemprot air gun dan pastikan tidak ada debu/kerak yang menempel,Bebas dari debu fluff dan NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
672FA0788C,AHP,AHP1,OP2,OP2,SHIFTLY,15,Waist Elastic Glue,Bersihkan dengan Sikat yang di berikan cairan white oil dan disemprot air gun dan pastikan tidak ada debu/kerak yang menempel,Bebas dari debu fluff dan NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
D27F8626C4,AHP,AHP1,OP2,OP2,SHIFTLY,16,S Elastic Composite Glue,Bersihkan dengan Sikat yang di berikan cairan white oil dan disemprot air gun dan pastikan tidak ada debu/kerak yang menempel,Bebas dari debu fluff dan NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
273946CD52,AHP,AHP1,OP2,OP2,SHIFTLY,17,Hip/tummy Elastic Composite Glue,Bersihkan dengan Sikat yang di berikan cairan white oil dan disemprot air gun dan pastikan tidak ada debu/kerak yang menempel,Bebas dari debu fluff dan NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
461B38321D,AHP,AHP1,OP2,OP2,SHIFTLY,18,Inner&Outer Waist Composite Glue,Bersihkan dengan Sikat yang di berikan cairan white oil dan disemprot air gun dan pastikan tidak ada debu/kerak yang menempel,Bebas dari debu fluff dan NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
1588E17F3B,AHP,AHP1,OP2,OP2,SHIFTLY,19,Waist Folding,Lakukan Pengecekan kondisi fisik flat belt (Adjustment) Buat EWO ke team Engineering apabila diperlukan penggantian part,"Pastikan kondisi conveyor flat belt tidak sobek dan tidak bergeser, dan pastikan besi plat folding tidak tajam",OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
8826A895ED,AHP,AHP1,OP2,OP2,SHIFTLY,20,All Lensa sensor BST,Bersihkan dengan cara di lap kering NWO sisa splicing dan pastikan tidak ada debu yang menempel,Bebas dari debu NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
F1F17A8375,AHP,AHP1,OP2,OP2,SHIFTLY,21,All Lensa sensor Reject material,Bersihkan dengan cara di lap kering NWO sisa splicing dan pastikan tidak ada debu yang menempel,Bebas dari debu NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
016B9C0823,AHP,AHP1,OP2,OP2,SHIFTLY,22,Debu Di Kolong Mesin,"Bersihkan dengan di semprot air gun,sapu dan Vacumm Cleaner dan pastikan tidak ada debu yang menempel",Bebas dari debu NWO dan akumulasi glue,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
79AE3B4A4F,AHP,AHP1,OP2,OP2,SHIFTLY,23,All Roller,Bersihkan dengan Spatula yang diberikan cairan kebersihan toluen,Bebas dari akumulasi glue,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
C317D3534B,AHP,AHP1,OP2,OP2,SHIFTLY,24,All Roller,Lakukan Pengecekan kondisi fisik roller Buat EWO ke team Engineering apabila diperlukan penggantian part,Tidak ada roller macet,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
CF0F405358,AHP,AHP1,OP2,OP2,SHIFTLY,25,Lantai (Front & Back) mesin,Bersihkan dengan disapu dan Vacumm Cleaner dan pastikan tidak ada debu yang menempel,Bebas dari debu,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
9C633658EA,AHP,AHP1,OP2,OP2,SHIFTLY,26,Selang angin,Ganti selang,Tidak ada Kebocoran angin,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
EDB2436AE7,AHP,AHP1,OP2,OP2,SHIFTLY,27,Flexible hose/Selang vaccum,Ganti selang,Tidak ada Kebocoran vaccum,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
6A14BDBFF1,AHP,AHP1,OP2,OP2,SHIFTLY,28,Safety Door Acrylic,Lakukan Pengecekan kondisi fisik safety door acrylic Buat EWO ke team Engineering apabila diperlukan penggantian part,Tidak ada yang pecah,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
AB225BFD6B,AHP,AHP1,OP2,OP2,SHIFTLY,29,All Shaft/AS unwinder,Lakukan Pengecekan kondisi fisik Shaft unwinder Buat EWO ke team Engineering apabila diperlukan penggantian part,Tidak ada Shaft/AS bocor,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 2,TRUE
44DEC23BE9,AHP,AHP1,OP3,OP3,SHIFTLY,1,S Cutter,"Bersihkan dengan cara di lap NWO sisa splicing yang diberikan cairan toluen, dan pastikan tidak ada debu/kerak yang menempel",Bebas dari debu fluff dan NWO,OP 3,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
9A7124BDEF,AHP,AHP1,OP3,OP2,SHIFTLY,2,O Shape Cutting,"Bersihkan dengan cara di lap NWO sisa splicing yang diberikan cairan alkohol dan silicone oil (1:1), dan pastikan tidak ada debu/kerak yang menempel",Bebas dari debu fluff dan NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
65EB4B4F42,AHP,AHP1,OP3,OP2,SHIFTLY,3,Spons O Shape Cuttine,Pemberian pelumas dengan cairan alkohol dan silicone oil (1:1),Terdapat pelumas white oil,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
2EC8CED9E4,AHP,AHP1,OP3,OP2,SHIFTLY,4,Vision Camera 2 (Waist Proses),"Bersihkan dengan cara di lap NWO sisa splicing , disemprot air gun, dan pastikan tidak ada debu/kerak yang menempel",Bebas dari debu fluff dan NWO,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
CD6328BF36,AHP,AHP1,OP3,OP2,SHIFTLY,5,Bifolding vertikal,Lakukan Pengecekan kondisi fisik sambungan round belt Buat EWO ke team Engineering apabila diperlukan penggantian part,Sambungan Roundbelt tidak putus,OP 2,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
27A665D0A1,AHP,AHP1,OP3,OP3,SHIFTLY,6,Bifolding horizontal,Lakukan Pengecekan kondisi fisik sambungan round belt Buat EWO ke team Engineering apabila diperlukan penggantian part,Sambungan Roundbelt tidak putus,OP 3,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
5E43BAC2AC,AHP,AHP1,OP3,OP3,SHIFTLY,7,Disposable Tape Cutting,"Bersihkan dengan cara di lap NWO sisa splicing yang diberikan cairan toluen, dan pastikan tidak ada debu/kerak yang menempel",Bebas dari debu fluff dan NWO,OP 3,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
892518694C,AHP,AHP1,OP3,OP3,SHIFTLY,8,Vision Camera 3 (Disposable Tape),Tembak dengan air gun hingga debu hilang dan bersihkan dengan AT atau lap kain kacamata,Bebas dari debu fluff dan NWO,OP 3,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
CC5C008108,AHP,AHP1,OP3,OP3,SHIFTLY,9,Twist Flat Belt,Lakukan Pengecekan kondisi fisik flat belt (Adjustment) Buat EWO ke team Engineering apabila diperlukan penggantian part,Pastikan kondisi conveyor flat belt tidak sobek dan tidak bergeser,OP 3,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
057B899EE5,AHP,AHP1,OP3,OP3,SHIFTLY,10,Ultrasonic Unit,"Bersihkan dengan cara di lap NWO sisa splicing , disemprot air gun, dan pastikan tidak ada debu/kerak yang menempel",Bebas dari debu fluff dan NWO,OP 3,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
446B219EDC,AHP,AHP1,OP3,OP3,SHIFTLY,11,Ultrasonic Unit,"Lakukan Pengecekan kondisi fisik flat belt,round belt,spons belt (Adjustment) Buat EWO ke team Engineering apabila diperlukan penggantian part","Pastikan kondisi conveyor spons belt before ultrasonic,round belt dan flat belt tidak sobek dan tidak bergeser dan pastikan brush menyentuh anvil pada saat berputar",OP 3,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
CDC8E032DB,AHP,AHP1,OP3,OP3,SHIFTLY,12,Final Cutter,"Lakukan Pengecekan kondisi fisik flat belt,spons dan vacum anvil (Adjustment) Buat EWO ke team Engineering apabila diperlukan penggantian part","Pastikan kondisi conveyor flat belt before final cutter,Spons tidak sobek,tidak bergeser dan pastikan lubang vacum anvil Final cutter tidak mampet",OP 3,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
E10A445505,AHP,AHP1,OP3,OP3,SHIFTLY,13,Spons Final cutter dan Packing wool Final cutter,Pemberian pelumas dengan white oil,Terdapat pelumas white oil,OP 3,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
32A1965D68,AHP,AHP1,OP3,OP3,SHIFTLY,14,Rejection,"Lakukan Pengecekan kondisi fisik flat belt,(Adjustment) Buat EWO ke team Engineering apabila diperlukan penggantian part",Pastikan kondisi conveyor flat belt before dan after rejection tidak sobek dan tidak bergeser,OP 3,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
B0229F3A78,AHP,AHP1,OP3,OP3,SHIFTLY,15,Stacker,"Lakukan Pengecekan kondisi fisik flat belt,finger stacker (Adjustment) Buat EWO ke team Engineering apabila diperlukan penggantian part","Pastikan kondisi conveyor flat belt before stacker tidak sobek,tidak bergeser dan pastikan finger stacker tidak patah/miring",OP 3,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
E7F7C14C13,AHP,AHP1,OP3,OP3,SHIFTLY,16,Conveyor line Packaging,Pengecekan kondisi conveyor line packaging,Pastikan kondisi conveyor berfungsi dengan baik,OP 3,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
01D8FC64F6,AHP,AHP1,OP3,OP3,SHIFTLY,17,Sachet Eyemark Control,"Bersihkan dengan cara di lap NWO sisa splicing , disemprot air gun, dan pastikan tidak ada debu/kerak yang menempel",Bebas dari debu fluff dan NWO,OP 3,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
C2682F4D2D,AHP,AHP1,OP3,OP3,SHIFTLY,18,Sachet Folding,"Bersihkan dengan cara di lap NWO sisa splicing , disemprot air gun, dan pastikan tidak ada debu/kerak yang menempel",Bebas dari debu fluff dan NWO,OP 3,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
BAE0A9718F,AHP,AHP1,OP3,OP3,SHIFTLY,19,Sachet Heat Sealing,Bersihkan dengan cara disikat dengan sikat kuningan dan pastikan tidak ada debu/kerak yang menempel,Bebas dari debu fluff dan NWO,OP 3,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
CFBCBC0BA0,AHP,AHP1,OP3,OP3,SHIFTLY,20,Sachet Glue,Bersihkan dengan Sikat yang di berikan cairan white oil dan disemprot air gun dan pastikan tidak ada debu/kerak yang menempel,Bebas dari debu fluff dan NWO,OP 3,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
260EE828AC,AHP,AHP1,OP3,OP3,SHIFTLY,21,All Lensa sensor BST,Bersihkan dengan cara di lap kering NWO sisa splicing dan pastikan tidak ada debu yang menempel,Bebas dari debu NWO,OP 3,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
97B4F77239,AHP,AHP1,OP3,OP3,SHIFTLY,22,All Lensa sensor Reject material,Bersihkan dengan cara di lap kering NWO sisa splicing dan pastikan tidak ada debu yang menempel,Bebas dari debu NWO,OP 3,DAM/FRM/MEX-08,00,31 Agustus 2023,Shiftly & Daily OP 3,TRUE
